S1M1	S2M1	S3M1	S4M1	S5M1	S6M1	S7M1	S8M1	S1M2	S2M2	S3M2	S4M2	S5M2	S6M2	S7M2	S8M2	S1M3	S2M3	S3M3	S4M3	S5M3	S6M3	S7M3	S8M3	S1M4	S2M4	S3M4	S4M4	S5M4	S6M4	S7M4	S8M4	S1M5	S2M5	S3M5	S4M5	S5M5	S6M5	S7M5	S8M5	S1M6	S2M6	S3M6	S4M6	S5M6	S6M6	S7M6	S8M6	S1M7	S2M7	S3M7	S4M7	S5M7	S6M7	S7M7	S8M7	S1M8	S2M8	S3M8	S4M8	S5M8	S6M8	S7M8	S8M8	y
22	2	0	-5	2	21	-82	-26	-40	-4	-7	-2	-8	-15	37	10	-8	-13	-5	0	12	-5	-78	-18	-3	11	-3	-3	-11	4	-16	18	30	-3	1	13	-2	2	-34	-24	-11	7	-3	-24	-2	-5	115	34	23	-10	-3	-11	5	27	-9	-30	-11	15	-7	-9	-9	-20	-22	-18	piedra
1	1	-2	0	14	17	2	-5	-4	-2	-1	-8	-14	-54	-8	0	-4	-4	-2	-1	-6	3	-4	-7	3	-3	-3	-5	9	17	-8	4	-3	-3	1	4	12	43	11	-1	5	3	1	-5	-19	-69	-11	-1	0	-2	3	9	2	31	16	9	16	3	-1	-4	-18	-57	-3	-10	ok
-8	0	3	3	2	29	6	24	-3	-1	1	-1	-23	-62	-4	-3	-4	2	-2	-4	-1	-22	-3	0	11	-5	-4	-3	-42	-70	-15	1	13	0	-2	-1	11	-6	-1	-4	-12	-5	-5	-7	12	-4	-13	-2	0	3	7	9	4	84	21	6	5	-2	-2	-6	2	7	7	9	ok
-44	-41	-10	-4	8	-2	-1	7	-16	19	6	6	-16	-9	-1	1	-16	-30	-10	4	18	-27	-18	2	11	-20	-1	-4	-7	30	6	15	13	41	8	2	26	42	8	-7	-20	-22	-12	-12	-4	-47	-13	-16	12	26	7	1	-52	-5	0	-14	-6	-7	5	9	-7	8	6	36	papel
83	7	-6	-13	12	-41	-38	-21	7	12	-5	-5	-16	37	3	27	43	-19	1	9	15	69	56	39	4	6	-1	-15	7	30	14	-2	-32	-4	0	6	-19	-21	-20	-3	-6	1	1	1	1	-39	-57	-20	-7	3	-1	3	3	-12	-7	-7	5	-3	-3	7	-6	-3	-7	-9	piedra
-5	14	8	4	5	-25	17	10	-8	4	5	4	4	15	-2	-7	6	-2	-1	0	2	-12	-8	-1	-2	1	-4	-7	-6	7	0	-11	4	17	6	-2	-31	-16	0	-2	-4	-4	-9	-3	-1	-12	-6	1	5	-47	0	-1	-6	-3	3	6	-4	-8	-11	-6	-3	-19	-10	-25	papel
53	5	-1	-3	8	18	15	4	-4	-5	-4	6	-4	-13	-31	4	-5	1	6	5	-7	-4	-35	-4	-1	4	4	10	36	-5	32	11	-16	-8	-6	-13	-27	-21	-46	-23	-4	7	0	-11	0	11	69	-24	-8	1	-7	-15	10	2	-2	10	-7	-26	-7	0	-9	-13	-59	7	piedra
7	16	2	6	-1	21	0	-9	-3	6	-3	0	3	11	0	-8	-1	10	0	-3	-10	-30	-8	4	-2	-11	-6	-4	12	3	-1	-4	-6	2	1	4	20	42	3	1	0	-9	-7	2	1	-11	-2	-7	4	7	-2	-3	11	16	-1	1	0	-8	-4	-1	-8	7	1	6	papel
0	2	0	-3	-17	-18	0	1	-9	1	-1	0	33	10	1	-7	8	-9	-1	-2	-1	10	1	7	3	1	-3	-5	15	14	-2	-4	-5	-3	-1	2	3	-18	-3	0	-22	-1	2	1	-27	-28	0	-9	34	16	-1	-1	-17	-12	3	10	-8	-12	-2	-2	34	48	-1	-14	tijeras
-31	-12	3	9	-6	-1	1	-8	7	4	0	-5	-11	-11	3	-21	3	9	3	7	12	-19	10	12	-4	-3	-3	-4	-8	-5	7	5	0	0	-2	0	-15	14	-11	-5	0	-2	5	8	14	40	5	-1	5	5	1	-5	-7	-49	-3	8	-34	-10	-6	-8	12	25	-14	-15	ok
5	-1	-2	0	0	-6	2	0	-8	-7	-1	-4	0	-33	-16	-19	-10	3	1	3	7	29	-8	2	-7	-6	-6	-5	-1	-13	0	-16	0	2	0	2	12	29	6	4	-9	-3	0	0	-2	15	1	-10	-3	-2	-2	-3	-4	-34	-5	-5	-1	-1	-1	-7	-28	-15	-2	-1	ok
3	-1	0	-5	-20	-55	-3	13	0	0	6	5	19	108	17	3	-2	6	-2	0	-1	-41	-16	-3	0	5	-1	-2	-5	-21	0	-9	-18	-10	-2	3	4	4	-4	-7	-1	0	0	-3	-6	25	16	8	-2	-1	-1	1	-4	-53	-4	-4	5	3	0	2	20	19	-12	-5	ok
4	-13	9	8	1	36	-1	21	15	-2	6	-4	-10	23	34	15	1	-1	-11	2	15	-25	-9	-16	3	9	16	-6	-17	-26	-6	7	-1	5	-7	-8	10	51	2	-10	1	-6	-1	-8	-18	4	-16	-12	5	12	6	11	21	5	-2	-2	-17	-24	-3	1	-1	-22	-1	-4	papel
-24	-15	-3	-3	6	7	-1	-15	22	8	-6	-4	2	16	1	7	13	-2	-3	-2	15	28	4	15	4	8	4	1	-16	-24	-3	-14	23	6	2	5	-21	-23	-2	3	-27	-2	5	3	-18	-13	3	-2	-9	-4	-7	-6	5	1	-2	-5	21	3	-2	0	18	29	2	2	tijeras
-11	-8	3	1	1	4	4	11	-1	-9	-13	-11	-1	-49	-4	7	-64	17	13	10	13	78	2	-23	18	16	11	-2	-1	34	17	12	-6	-16	-4	-4	4	-10	-4	-1	13	-8	-5	7	-23	-22	-10	-3	8	35	4	-2	24	20	-12	-1	-7	-20	-10	2	-14	-33	-5	1	papel
-6	-4	-13	3	6	21	30	-14	8	5	7	-16	-23	-1	4	17	-9	-22	-4	7	20	4	-37	-20	-15	14	8	0	-21	-2	19	20	-22	-2	-7	0	21	5	8	19	40	-14	-9	-5	3	10	10	8	-3	13	5	4	0	-11	1	-22	-4	-10	-5	2	-1	-9	-21	3	piedra
-37	2	-1	-7	-14	-46	-11	-14	41	-7	-6	2	-2	3	8	27	-50	-10	5	-4	-13	-23	-3	1	11	34	-4	-2	24	51	-3	-10	11	-15	8	8	16	41	10	27	51	0	0	7	-8	31	5	-1	36	47	6	-3	11	-1	0	16	-63	-34	-14	-2	-22	-35	-4	5	papel
-23	0	0	-4	-18	-6	0	6	39	2	0	0	31	24	0	-7	0	-1	0	-1	5	14	0	-2	4	2	2	2	9	-3	-4	1	-20	-5	0	-1	-8	4	0	-4	2	-2	-5	-6	13	26	0	-3	-12	-1	2	2	9	-2	2	0	18	1	1	0	-11	-47	-1	9	tijeras
-1	-1	-2	0	22	44	5	-1	-1	-2	-5	-6	-17	-16	-4	-15	13	3	0	3	31	25	-5	8	-4	2	2	-1	-15	-2	2	-15	13	1	1	-4	2	-34	0	8	-3	-4	2	5	22	55	1	14	-3	-2	-2	-7	-32	-33	1	-8	-2	0	-1	0	3	-14	-3	0	ok
-4	0	2	0	-8	-28	3	1	1	2	3	3	33	81	11	-2	-3	-1	1	-1	-7	-23	-7	-11	0	-3	-4	-5	3	-18	-9	23	7	10	11	15	-3	8	15	13	2	-5	-4	-4	4	-13	-2	2	-9	-2	0	-1	-4	10	3	-4	20	3	3	0	12	-26	-4	-20	ok
5	5	5	8	-1	-5	10	28	-1	-3	-6	-5	-5	6	87	-19	-7	-2	0	6	0	1	-48	-26	-2	-4	-6	-15	-3	-6	-85	8	-9	-2	0	-1	-10	-14	16	-22	7	5	1	-11	1	11	103	41	6	3	1	5	9	3	-6	18	-10	-1	-1	-1	-9	-5	-69	-25	piedra
-13	-14	24	4	-1	24	-3	-12	3	-21	-2	-5	-11	-37	-1	-1	-28	0	9	14	21	1	-19	15	6	5	-2	-9	11	-54	5	-16	30	13	-1	0	-36	-11	2	19	66	18	2	6	8	0	7	-21	-81	-8	-4	-6	5	-15	6	27	59	14	2	2	17	36	-1	-46	papel
-5	0	-1	-2	-7	9	2	4	8	-2	-4	-2	35	18	0	2	-6	-4	-2	-2	-9	15	0	-2	-7	-2	0	1	-43	-29	-4	2	-5	-2	0	-4	-4	-30	0	-5	-16	0	-1	4	15	16	-1	-7	15	-2	-5	-7	-28	-3	-3	-1	-18	0	2	4	0	-2	0	-15	tijeras
0	-2	-3	-3	1	7	-1	-1	-10	2	6	6	0	25	1	4	10	1	3	3	10	10	1	-3	5	1	-2	0	-14	2	0	3	-5	-2	0	-5	1	-12	-3	-6	0	0	-2	-3	-4	-11	4	14	-17	-4	-1	-3	7	-2	-4	-13	8	-2	-2	-5	-5	-8	-1	-4	ok
-11	-9	1	0	-31	-61	-18	-20	0	-27	-11	-9	20	16	2	-16	15	4	8	4	-17	-4	-7	-11	54	19	-2	-2	-22	-28	6	8	-73	-6	7	-1	-1	-20	2	-1	33	31	0	-3	2	13	-10	-9	-11	-10	-6	-5	27	54	17	-3	17	0	-4	-3	-36	-18	-10	1	papel
37	-3	8	20	2	18	8	28	-81	-3	-4	-4	-5	-33	-21	6	34	-6	-4	-12	-16	14	12	-33	19	5	-2	-6	37	28	-19	8	-16	-6	-7	-15	-28	-13	-6	0	-4	-1	7	32	11	-31	-59	-56	-40	2	-3	-7	12	26	103	46	37	-7	-9	-22	-26	-34	1	17	piedra
6	5	4	4	3	31	10	4	-6	-3	-4	-6	-2	-19	-8	-7	-1	-6	-2	-5	-19	-18	-8	6	-5	1	1	2	25	3	0	-11	-2	-2	-3	-1	-18	-34	0	4	6	-3	-4	-1	10	21	-4	0	-7	-3	-4	-4	14	-61	-13	1	-10	1	2	1	-40	-37	3	-14	ok
-6	-4	-1	0	3	3	-9	-7	-1	-1	-1	-4	-11	-42	-31	-26	-6	8	5	7	4	77	36	51	-8	-7	0	-2	4	16	1	-5	7	1	-3	-2	-8	-27	2	7	-5	-1	0	0	13	-16	-8	-11	2	-3	-4	-1	-9	19	-3	-5	-13	-5	-2	-2	7	15	6	3	ok
-8	-21	-4	1	46	-4	-2	7	-13	-8	-11	-16	-14	34	-1	-10	7	18	-6	14	-8	-32	2	-3	16	37	8	1	-10	1	2	25	-14	-26	2	-2	-2	-30	-2	-12	24	9	1	-1	5	13	2	19	-4	-3	-4	-2	25	46	3	-4	6	3	-2	-4	-34	-11	0	-11	papel
-31	-22	-2	-6	-3	-38	-8	15	-1	-3	1	-4	10	33	4	-27	5	-7	-3	-6	-19	-16	-8	0	3	25	0	8	2	19	10	-9	8	-7	-2	-1	10	15	5	15	-3	-3	3	2	13	-10	-4	0	2	-3	-6	-6	-9	-17	-4	-2	-10	-5	-4	-1	8	10	-1	6	papel
-4	20	17	0	-4	1	-1	4	3	3	-7	2	-15	-7	11	-2	-11	16	7	-3	15	17	1	-2	37	16	2	-1	5	-33	-9	-2	-27	14	0	-7	-29	-9	7	7	-20	-67	-3	2	10	-19	-12	5	-4	34	3	-4	-20	-31	-9	6	-14	-26	-8	7	-3	-24	9	2	papel
-7	3	6	8	-41	-70	-2	0	-12	-3	-6	-6	7	-5	-1	-5	-10	-6	1	-2	-35	-15	0	1	6	-1	-3	-1	12	2	-3	-3	6	-5	-3	-5	-4	37	2	-1	5	2	1	5	26	-1	0	1	-3	9	-3	3	-10	3	-1	-1	-11	-15	2	0	-35	-35	-6	-5	tijeras
-10	-3	-3	-5	-4	-63	-12	3	10	-2	-3	-4	7	1	-13	-9	-8	-3	-3	6	58	-10	-3	-4	4	9	14	17	-15	64	23	13	6	-4	-6	-7	-5	-46	-6	4	4	0	1	-1	-3	-12	6	-3	-5	-7	-7	-6	-15	-36	-12	2	-6	1	-1	-1	33	6	2	-10	ok
-13	-21	-15	-8	-3	8	-8	0	6	17	4	1	-7	0	-20	-20	18	-26	12	7	4	23	-7	-16	-13	-14	-2	-11	-12	-19	-29	-4	-20	5	-4	3	-7	-24	40	11	8	-4	-4	-11	10	2	-3	2	-11	16	-1	4	-6	13	23	-7	14	-10	-7	-3	10	-6	-18	-18	piedra
-34	-9	-4	3	10	1	-20	-11	6	-7	1	0	-13	4	-15	14	62	16	2	-4	-3	1	28	31	33	12	1	6	25	24	23	14	-28	-3	2	4	-20	17	4	-20	-8	-7	-9	-22	9	-38	14	-8	-3	-24	-7	18	-26	16	-93	-17	-50	-6	7	-23	16	22	77	16	piedra
-13	26	0	-3	-16	-31	-14	-18	13	-3	-3	0	-6	0	4	24	-5	7	4	-4	0	-37	-13	15	5	13	-4	5	17	12	1	-9	-8	-15	-9	-8	4	11	-3	-1	29	1	2	2	6	-6	-2	1	-18	-19	-5	2	-2	13	0	-6	5	-3	-7	-9	0	-9	-6	-22	papel
-10	-3	1	-2	-30	-11	1	-4	-30	-4	-1	2	-11	-10	-4	-8	50	2	-8	-8	29	28	2	5	-12	1	3	1	-29	-13	-5	-2	12	3	-1	0	9	-11	-1	1	-19	-6	-1	-7	-23	-9	1	-5	-4	-5	2	10	-8	-4	0	3	19	11	2	3	-15	-12	2	15	tijeras
-1	3	5	2	2	7	-4	-31	-4	2	3	7	-3	16	-24	14	5	-1	1	4	-3	-4	-3	-3	1	0	-3	1	4	4	-4	-1	1	0	1	4	2	-12	16	10	-8	-4	-5	-12	-14	-14	-24	-18	2	-2	-2	3	2	6	-43	10	-1	1	0	-1	1	-13	-24	-17	piedra
32	3	2	1	-28	-10	-2	0	-7	2	-2	0	12	11	0	3	11	-2	-1	-5	10	-10	-2	1	-28	-7	-4	-2	24	1	-1	-11	14	5	2	-2	-17	-14	0	5	-15	-3	-5	-3	-1	0	-3	-3	-10	-2	-1	6	15	13	0	-3	-11	-2	-1	-3	0	-12	-2	-5	tijeras
9	5	8	7	-11	13	8	9	-5	-5	-8	-8	-11	-25	-3	-4	1	-2	-1	1	6	8	-2	8	3	-1	-4	-5	-18	-29	-8	-11	0	-2	-4	-5	21	-48	-9	-14	1	3	4	6	-15	38	7	3	-10	-1	0	-3	-26	-35	-6	-6	-19	-4	-4	-7	27	17	-3	-21	ok
2	-11	9	-13	-24	40	0	-17	9	15	-8	-8	-7	-47	-3	13	-20	-30	-6	-1	-43	27	4	-18	-1	10	2	-3	7	-13	-14	14	18	25	-3	8	31	-38	-3	-14	-28	6	0	4	3	47	-5	-6	13	11	10	21	-28	-17	1	9	0	-2	-1	-6	36	5	7	-12	papel
-16	6	-1	-5	-1	-22	-7	-7	14	2	-3	-4	21	29	-4	-7	12	76	3	8	-30	-46	-1	23	36	-41	-14	-5	-1	-2	-4	-25	-38	-6	-12	-5	10	14	2	7	0	-8	10	6	22	30	5	-6	-2	-8	-5	-5	5	23	0	14	-4	-6	-1	1	10	-35	-4	1	papel
6	-3	2	4	16	43	6	5	-9	-3	5	5	-6	-13	-1	-11	6	6	-1	4	-6	28	6	17	-15	4	-3	-8	1	-6	-13	-24	12	6	-8	-2	-26	-48	-10	9	6	7	9	16	21	80	15	27	3	9	3	-1	-7	-10	12	10	-7	-6	-8	-9	-7	-5	-17	-13	papel
-1	-1	0	-1	-23	-23	-13	-2	-13	0	3	5	19	27	16	-1	-3	-3	-4	-4	-27	-58	-16	-2	4	4	5	6	12	48	16	5	12	-2	-2	-3	-2	-21	-6	3	-3	1	-4	-2	4	-17	-2	-14	-14	-3	1	2	21	33	4	-5	21	3	2	3	-34	-49	-7	7	ok
-13	2	10	5	-7	-48	-13	-32	24	18	5	14	25	30	6	16	11	0	0	4	-7	-14	3	1	7	9	-4	-9	-21	-10	0	-8	-9	-21	-18	-5	-15	-4	5	7	-9	11	16	3	16	-42	-17	-20	-8	29	0	0	8	29	8	12	8	-3	-5	-8	9	21	1	-8	papel
1	1	1	-2	-21	0	-2	-7	0	1	0	-1	10	11	1	6	17	2	-2	0	22	28	-3	-9	-13	-3	-4	-5	-43	-42	3	13	13	1	-2	0	10	8	1	9	-6	-1	1	1	-18	-28	-2	-3	-28	-3	0	1	-5	-6	-1	1	20	2	-3	-1	25	29	-1	-19	tijeras
-6	0	1	-2	10	15	7	-2	4	0	1	-4	-6	-1	3	12	5	-4	-5	-4	8	-13	-9	-11	-3	-1	-1	1	19	21	0	-10	-2	-1	1	0	-24	-17	-1	6	-4	-2	-3	-4	4	-6	-3	-6	-9	-6	-7	-4	-12	-29	-4	3	1	0	-5	-5	4	-9	2	-8	ok
-13	-15	5	5	-2	-18	-5	-19	-16	24	3	2	18	36	6	3	26	13	4	-6	-12	-20	-5	-10	-2	25	-19	-7	-8	27	16	36	-29	-35	17	11	-11	-29	-10	-7	23	4	-4	-5	10	-2	-17	-1	-30	16	2	8	26	10	8	-1	-19	-47	-7	-9	-20	-4	-4	-14	papel
-4	-4	-7	-2	5	5	-6	-7	-1	1	0	1	9	34	2	9	-1	-1	2	4	-7	-23	2	-3	-2	3	3	0	-5	1	-2	0	2	3	4	3	23	54	8	6	-3	-1	-2	-2	-7	3	-8	-6	-4	-2	-2	-2	-2	-13	-5	-3	3	-1	1	1	6	4	-7	3	ok
-12	0	-1	-2	-1	5	2	-3	14	1	-1	-1	-6	-11	-4	-15	-12	1	-5	-1	15	0	1	10	0	-6	-2	-2	-5	-7	-6	3	-44	-4	-6	-5	14	33	0	-8	43	1	-2	-1	-8	-9	0	12	-13	0	0	6	25	2	-1	-7	7	4	2	-2	-39	-20	3	0	tijeras
39	-14	-8	-7	-2	-16	-3	-2	-40	22	0	-2	-3	22	3	2	-6	-19	3	5	5	-18	0	-6	-17	11	-13	-11	1	30	-1	-21	16	-12	-7	5	-20	-26	7	5	2	-10	9	6	-8	10	-5	-12	26	22	1	-3	-8	-1	3	13	-7	-12	0	-3	-1	1	-4	-9	papel
24	-3	-2	-7	-17	-28	-6	2	-8	-4	-8	-8	12	15	-16	-7	18	5	6	7	3	62	15	7	3	9	-1	1	-15	-18	-8	4	-19	-2	-3	-5	-8	-37	0	-10	-10	-3	-4	-7	8	-28	-6	1	-2	1	-5	-4	33	40	-2	11	-7	-7	2	1	-20	63	11	-11	ok
-21	12	1	0	13	-6	56	5	8	9	5	-1	-2	4	-36	-3	2	-20	-15	3	4	8	22	5	-10	5	15	9	11	-28	-64	-17	-72	-6	-2	-10	-14	5	18	3	52	7	-4	-1	-2	20	23	6	-31	-1	-4	-1	17	18	-19	-9	24	-4	-4	-2	-19	-3	-23	-16	piedra
0	2	1	1	10	65	12	25	21	6	-9	-5	14	-34	-14	-6	-9	7	-5	-9	-14	-8	5	-5	4	1	4	2	5	3	-1	3	2	-6	-5	-4	-1	-49	-5	-5	4	5	-16	-9	11	5	-14	6	8	2	6	8	-2	-19	14	-1	-22	1	-1	-3	3	5	8	-32	papel
2	-14	1	-4	5	24	-21	-16	5	4	-1	1	-2	-20	1	-12	2	17	1	-4	-30	-35	2	12	-2	-19	-5	-4	23	-16	-7	-19	-21	-3	6	10	0	0	-4	-2	36	-1	-3	7	22	41	-1	6	-6	0	1	-3	-7	-12	-6	-8	-1	8	2	-1	-13	-2	15	-11	papel
-6	1	-3	-2	12	7	-26	-9	-18	-3	1	3	-19	-7	-27	-6	16	-2	0	6	7	-10	-4	-6	4	-2	-2	-2	-6	-10	-13	-22	-29	2	-4	-12	10	9	5	-7	44	-2	-2	2	-16	-3	-37	61	-9	0	-3	-2	8	-14	-6	-9	11	-2	1	2	3	20	28	-10	piedra
-1	-3	3	-3	-56	-45	-2	4	-16	-2	-1	3	8	-31	-1	-6	43	3	-2	-5	8	-3	-5	8	-7	-5	-2	-5	-10	-3	0	0	-6	2	-1	-3	31	39	-2	-19	4	0	-3	-5	-4	3	1	9	-12	-1	-1	-3	-1	-1	-1	-7	-16	-5	-1	0	-4	3	-2	-2	tijeras
5	8	0	10	-4	-8	-45	6	15	4	6	0	3	-14	72	7	-49	-2	-8	-11	-5	-11	-67	-6	48	4	5	-1	-4	50	85	13	-7	-6	-2	-2	-13	-28	-32	-5	45	3	-1	-6	3	10	37	-6	-28	1	4	13	8	-4	-13	17	6	-7	-4	-3	-13	-48	-73	-19	piedra
14	3	2	7	-4	12	21	-1	-14	2	1	-7	-31	-67	-127	-17	-103	11	10	28	6	-21	-26	-12	119	-7	-15	-57	7	13	-109	77	43	16	8	7	32	78	79	93	-18	-6	0	4	-12	2	-79	-30	2	-7	-2	7	13	15	-88	12	-49	1	3	20	-16	-16	-99	-34	piedra
-8	1	-1	4	-2	61	7	-15	6	3	0	2	9	16	-4	6	3	-1	-3	0	-8	-92	-11	-14	0	3	3	0	15	73	24	13	9	3	4	10	35	-27	5	19	2	-3	0	0	-3	-3	0	-6	3	1	2	1	-4	33	3	6	-6	-8	-7	-7	-21	-64	-20	-16	ok
-1	-1	-1	-6	-37	-14	-1	3	-6	1	-1	2	10	-4	11	-2	6	-6	-5	-2	21	4	0	-3	-5	2	0	-3	-32	14	1	3	40	6	1	-1	45	3	-6	4	-10	-4	-1	0	-5	-2	-13	-10	-3	-3	1	0	-35	-36	-4	1	-26	-3	-4	0	-7	1	-9	-7	tijeras
1	-1	0	1	4	16	4	9	-21	1	-1	-1	8	10	-5	-9	0	-1	-3	-8	-27	-46	1	6	-2	-1	-1	4	58	38	-9	-7	10	1	-1	-2	-47	-45	-1	3	1	1	1	-1	-20	-19	10	-2	-1	-1	2	0	4	31	2	-4	0	-1	-2	-2	-15	5	-5	-2	ok
-29	-37	-10	-12	22	26	-6	8	-18	-3	-3	2	-8	7	6	1	8	-13	3	8	14	46	1	24	-8	-4	-11	-9	2	-9	-5	-16	3	36	4	-1	29	9	1	-20	43	-17	-13	-6	-9	-31	-2	-13	-28	-24	1	0	-7	9	-5	3	17	54	-2	2	20	-15	2	5	papel
11	-3	-6	-7	7	-3	-13	-10	-7	-3	-3	0	25	-28	-14	-15	14	0	-1	-4	-33	9	10	11	-10	-2	2	3	-10	21	3	3	-1	-7	-3	-11	-12	-53	-23	-19	-17	8	6	5	-19	-5	19	27	1	-3	-4	-3	16	-20	-19	-17	8	-4	-4	-4	1	-15	-6	8	ok
13	28	5	-1	6	-5	1	-10	16	-48	-1	-3	-4	-39	-11	-10	-11	-14	3	6	16	59	15	28	16	20	-1	-3	14	38	5	-20	-17	-8	-6	-7	-13	-48	0	26	1	8	3	9	-27	52	-14	-36	33	24	-5	-4	17	-29	-1	0	-32	-33	-7	-4	15	29	3	3	papel
-3	-2	-2	-3	2	9	26	1	16	1	0	-5	-10	-9	-8	6	-17	-3	1	3	1	-1	29	13	-42	1	7	11	-8	-13	-103	-54	3	-4	-4	-5	35	-4	55	49	87	2	-6	-4	-12	25	-14	0	-12	2	6	16	10	17	44	11	-12	0	-1	-13	-21	-6	12	4	piedra
25	3	0	1	4	-19	-2	1	-9	-2	-2	-4	11	16	-4	-7	9	0	-1	1	-5	6	0	11	-14	-3	0	-3	15	2	-1	-2	-14	-4	0	1	4	13	2	0	9	1	-2	-2	12	9	-1	-4	-4	-2	-1	1	-1	19	3	2	2	-3	0	-1	-13	-28	-3	0	tijeras
57	5	-1	-3	19	26	16	24	-18	2	2	2	-2	-7	-16	10	6	-3	-5	-1	-2	-11	-20	-4	-31	2	1	-1	-7	-2	-1	-6	2	0	-1	-11	1	-19	-26	5	9	4	1	6	10	35	87	0	17	-4	-5	-6	-2	-6	-17	15	-4	0	1	3	0	-12	-38	-9	piedra
-2	25	4	3	-5	15	127	32	28	6	4	1	7	26	51	-7	-45	-3	-23	-2	-1	-30	-98	-53	-10	-8	26	28	-22	-36	-100	-14	-49	-2	-11	-35	2	-69	-59	-64	104	-12	-4	-19	29	76	61	93	-3	20	4	5	5	24	83	36	-16	-7	-19	-7	0	-5	-11	-19	piedra
-2	-5	-6	-1	-1	4	-8	-14	-9	2	-7	-5	-2	7	7	5	0	3	4	20	4	0	-15	8	7	5	-7	-12	12	46	-10	-27	-25	-9	-1	0	15	-38	18	-27	21	4	2	-10	-11	10	-27	28	-1	2	7	19	2	-15	12	2	-8	5	3	2	-11	6	8	3	ok
