status;duration;credit.hist;purpose;credit.amo;savings;employed.time;installment;status.sex;debtors;residence.time;property;age;installment2;housing;num.credits;job;num.people;telephone;foreign;y
>= 200 DM;12;existing credits paid back duly till now;furniture/equipment;1474;< 100 DM;< 1 year;4;female:divorced/separated/married;none;1;building society savings agreement/life insurance;33;bank;own;1;management/self-employed/;1;yes;yes;yes
0 <=  and < 200 DM;45;critical account;radio/television;4746;< 100 DM;< 1 year;4;male:single;none;2;building society savings agreement/life insurance;25;none;own;2;unskilled - resident;1;none;yes;no
>= 200 DM;10;existing credits paid back duly till now;domestic appliances;1225;< 100 DM;1 <=  and < 4 years;2;male:single;none;2;car or other;37;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;9;existing credits paid back duly till now;radio/television;458;< 100 DM;1 <=  and < 4 years;4;male:single;none;3;real estate;24;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;radio/television;1158;500 <=  and < 1000 DM;1 <=  and < 4 years;3;male:divorced/separated;none;1;car or other;26;none;own;1;skilled employee/official;1;yes;yes;yes
< 0 DM;48;critical account;car (used);6143;< 100 DM;>= 7 years;4;female:divorced/separated/married;none;4;unknown/no property;58;stores;for free;2;unskilled - resident;1;none;yes;no
no checking account;11;critical account;car (new);1393;< 100 DM;< 1 year;4;female:divorced/separated/married;none;4;car or other;35;none;own;2;management/self-employed/;1;none;yes;yes
no checking account;36;existing credits paid back duly till now;radio/television;2299;500 <=  and < 1000 DM;>= 7 years;4;male:single;none;4;car or other;39;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;6;existing credits paid back duly till now;car (used);1352;500 <=  and < 1000 DM;unemployed;1;female:divorced/separated/married;none;2;building society savings agreement/life insurance;23;none;rent;1;unemployed/unskilled - non-resident;1;yes;yes;yes
no checking account;11;critical account;car (new);7228;< 100 DM;1 <=  and < 4 years;1;male:single;none;4;building society savings agreement/life insurance;39;none;own;2;unskilled - resident;1;none;yes;yes
no checking account;12;existing credits paid back duly till now;radio/television;2073;100 <=  and < 500 DM;1 <=  and < 4 years;4;female:divorced/separated/married;co-applicant;2;real estate;28;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;12;existing credits paid back duly till now;radio/television;1262;< 100 DM;1 <=  and < 4 years;3;male:single;none;2;car or other;25;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;18;existing credits paid back duly till now;car (used);3378;unknown/no savings account;1 <=  and < 4 years;2;male:single;none;1;building society savings agreement/life insurance;31;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;6;all credits at this bank paid back duly;car (new);783;unknown/no savings account;1 <=  and < 4 years;1;male:single;guarantor;2;real estate;26;stores;own;1;unskilled - resident;2;none;yes;yes
no checking account;36;critical account;radio/television;9566;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;2;car or other;31;stores;own;2;skilled employee/official;1;none;yes;yes
>= 200 DM;18;existing credits paid back duly till now;car (new);1961;< 100 DM;>= 7 years;3;female:divorced/separated/married;none;2;car or other;23;none;own;1;management/self-employed/;1;none;yes;yes
< 0 DM;36;critical account;furniture/equipment;6229;< 100 DM;< 1 year;4;female:divorced/separated/married;co-applicant;4;unknown/no property;23;none;rent;2;unskilled - resident;1;yes;yes;no
0 <=  and < 200 DM;15;critical account;radio/television;1537;unknown/no savings account;>= 7 years;4;male:single;guarantor;4;real estate;50;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;27;existing credits paid back duly till now;repairs;5190;unknown/no savings account;>= 7 years;4;male:single;none;4;building society savings agreement/life insurance;48;none;own;4;skilled employee/official;2;yes;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;car (new);1007;>= 1000 DM;1 <=  and < 4 years;4;male:married/widowed;none;1;real estate;22;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;36;existing credits paid back duly till now;education;1819;< 100 DM;1 <=  and < 4 years;4;male:single;none;4;unknown/no property;37;stores;for free;1;skilled employee/official;1;yes;yes;no
no checking account;36;existing credits paid back duly till now;car (used);8133;< 100 DM;1 <=  and < 4 years;1;female:divorced/separated/married;none;2;building society savings agreement/life insurance;30;bank;own;1;skilled employee/official;1;none;yes;yes
no checking account;7;critical account;radio/television;730;unknown/no savings account;>= 7 years;4;male:single;none;2;building society savings agreement/life insurance;46;none;rent;2;unskilled - resident;1;yes;yes;yes
< 0 DM;8;critical account;others;1164;< 100 DM;>= 7 years;3;male:single;none;4;unknown/no property;51;bank;for free;2;management/self-employed/;2;yes;yes;yes
0 <=  and < 200 DM;42;critical account;business;5954;< 100 DM;4 <=  and < 7 years;2;female:divorced/separated/married;none;1;real estate;41;bank;own;2;unskilled - resident;1;none;yes;yes
< 0 DM;36;existing credits paid back duly till now;education;1977;unknown/no savings account;>= 7 years;4;male:single;none;4;unknown/no property;40;none;own;1;management/self-employed/;1;yes;yes;no
< 0 DM;12;critical account;car (used);1526;< 100 DM;>= 7 years;4;male:single;none;4;unknown/no property;66;none;for free;2;management/self-employed/;1;none;yes;yes
0 <=  and < 200 DM;11;delay in paying off in the past;radio/television;4771;< 100 DM;4 <=  and < 7 years;2;male:single;none;4;building society savings agreement/life insurance;51;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;54;no credits taken/all credits paid back duly;car (used);9436;unknown/no savings account;1 <=  and < 4 years;2;male:single;none;2;building society savings agreement/life insurance;39;none;own;1;unskilled - resident;2;none;yes;yes
0 <=  and < 200 DM;30;existing credits paid back duly till now;furniture/equipment;3832;< 100 DM;< 1 year;2;male:married/widowed;none;1;building society savings agreement/life insurance;22;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;15;existing credits paid back duly till now;radio/television;1213;500 <=  and < 1000 DM;>= 7 years;4;male:single;none;3;building society savings agreement/life insurance;47;stores;own;1;skilled employee/official;1;yes;yes;yes
no checking account;18;existing credits paid back duly till now;business;1568;100 <=  and < 500 DM;1 <=  and < 4 years;3;female:divorced/separated/married;none;4;building society savings agreement/life insurance;24;none;rent;1;unskilled - resident;1;none;yes;yes
< 0 DM;24;existing credits paid back duly till now;others;1755;< 100 DM;>= 7 years;4;female:divorced/separated/married;guarantor;4;real estate;58;none;own;1;unskilled - resident;1;yes;yes;yes
< 0 DM;10;existing credits paid back duly till now;radio/television;2315;< 100 DM;>= 7 years;3;male:single;none;4;real estate;52;none;own;1;unskilled - resident;1;none;yes;yes
no checking account;12;critical account;business;1412;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;guarantor;2;real estate;29;none;own;2;management/self-employed/;1;yes;yes;yes
0 <=  and < 200 DM;36;existing credits paid back duly till now;education;12612;100 <=  and < 500 DM;1 <=  and < 4 years;1;male:single;none;4;unknown/no property;47;none;for free;1;skilled employee/official;2;yes;yes;no
< 0 DM;12;no credits taken/all credits paid back duly;repairs;1108;< 100 DM;4 <=  and < 7 years;4;male:single;none;3;real estate;28;none;own;2;skilled employee/official;1;none;yes;no
no checking account;12;critical account;radio/television;797;unknown/no savings account;>= 7 years;4;female:divorced/separated/married;none;3;building society savings agreement/life insurance;33;bank;own;1;unskilled - resident;2;none;yes;no
>= 200 DM;24;critical account;furniture/equipment;3617;unknown/no savings account;>= 7 years;4;male:single;co-applicant;4;unknown/no property;20;none;rent;2;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;54;no credits taken/all credits paid back duly;business;15945;< 100 DM;< 1 year;3;male:single;none;4;unknown/no property;58;none;rent;1;skilled employee/official;1;yes;yes;no
0 <=  and < 200 DM;36;critical account;radio/television;2337;< 100 DM;>= 7 years;4;male:single;none;4;real estate;36;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;20;delay in paying off in the past;car (used);7057;unknown/no savings account;4 <=  and < 7 years;3;male:single;none;4;building society savings agreement/life insurance;36;bank;rent;2;management/self-employed/;2;yes;yes;yes
no checking account;24;existing credits paid back duly till now;car (new);1469;100 <=  and < 500 DM;>= 7 years;4;male:married/widowed;none;4;real estate;41;none;rent;1;unskilled - resident;1;none;yes;yes
0 <=  and < 200 DM;36;existing credits paid back duly till now;radio/television;2323;< 100 DM;4 <=  and < 7 years;4;male:single;none;4;car or other;24;none;rent;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;9;critical account;furniture/equipment;1919;< 100 DM;4 <=  and < 7 years;4;male:single;none;3;car or other;35;none;rent;1;skilled employee/official;1;yes;yes;yes
no checking account;12;existing credits paid back duly till now;car (used);2445;unknown/no savings account;< 1 year;2;male:married/widowed;none;4;car or other;26;none;rent;1;skilled employee/official;1;yes;yes;yes
no checking account;18;all credits at this bank paid back duly;car (new);6458;< 100 DM;>= 7 years;2;male:single;none;4;unknown/no property;39;bank;own;2;management/self-employed/;2;yes;yes;no
< 0 DM;24;existing credits paid back duly till now;furniture/equipment;7721;unknown/no savings account;< 1 year;1;female:divorced/separated/married;none;2;building society savings agreement/life insurance;30;none;own;1;skilled employee/official;1;yes;no;yes
0 <=  and < 200 DM;14;existing credits paid back duly till now;business;1410;500 <=  and < 1000 DM;>= 7 years;1;male:married/widowed;none;2;real estate;35;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;6;delay in paying off in the past;business;1449;100 <=  and < 500 DM;>= 7 years;1;male:divorced/separated;none;2;car or other;31;bank;own;2;skilled employee/official;2;none;yes;yes
>= 200 DM;15;existing credits paid back duly till now;education;392;< 100 DM;< 1 year;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;23;none;rent;1;skilled employee/official;1;yes;yes;yes
no checking account;36;critical account;car (new);7855;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;2;real estate;25;stores;own;2;skilled employee/official;1;yes;yes;no
< 0 DM;10;critical account;furniture/equipment;2132;unknown/no savings account;< 1 year;2;female:divorced/separated/married;co-applicant;3;real estate;27;none;rent;2;skilled employee/official;1;none;no;yes
< 0 DM;33;critical account;furniture/equipment;4281;500 <=  and < 1000 DM;1 <=  and < 4 years;1;female:divorced/separated/married;none;4;car or other;23;none;own;2;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;12;critical account;car (new);2366;500 <=  and < 1000 DM;4 <=  and < 7 years;3;male:divorced/separated;none;3;car or other;36;none;own;1;management/self-employed/;1;yes;yes;yes
< 0 DM;21;existing credits paid back duly till now;radio/television;1835;< 100 DM;1 <=  and < 4 years;3;female:divorced/separated/married;none;2;real estate;25;none;own;2;skilled employee/official;1;yes;yes;no
no checking account;24;critical account;car (used);3868;< 100 DM;>= 7 years;4;female:divorced/separated/married;none;2;car or other;41;none;rent;2;management/self-employed/;1;yes;yes;yes
no checking account;12;existing credits paid back duly till now;furniture/equipment;1768;< 100 DM;1 <=  and < 4 years;3;male:single;none;2;real estate;24;none;rent;1;unskilled - resident;1;none;yes;yes
>= 200 DM;10;critical account;car (new);781;< 100 DM;>= 7 years;4;male:single;none;4;unknown/no property;63;none;for free;2;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;repairs;639;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;car or other;30;none;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;12;critical account;car (used);1860;< 100 DM;unemployed;4;male:single;none;2;car or other;34;none;own;2;management/self-employed/;1;yes;yes;yes
0 <=  and < 200 DM;48;existing credits paid back duly till now;car (new);8487;unknown/no savings account;4 <=  and < 7 years;1;female:divorced/separated/married;none;2;car or other;24;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;36;delay in paying off in the past;education;6887;< 100 DM;1 <=  and < 4 years;4;male:single;none;3;building society savings agreement/life insurance;29;stores;own;1;skilled employee/official;1;yes;yes;no
no checking account;18;existing credits paid back duly till now;furniture/equipment;1984;< 100 DM;1 <=  and < 4 years;4;male:single;none;4;unknown/no property;47;bank;for free;2;skilled employee/official;1;none;yes;yes
no checking account;27;delay in paying off in the past;car (used);8613;>= 1000 DM;1 <=  and < 4 years;2;male:single;none;2;car or other;27;none;own;2;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;radio/television;766;500 <=  and < 1000 DM;1 <=  and < 4 years;4;male:single;none;3;real estate;66;none;own;1;unskilled - resident;1;none;yes;no
0 <=  and < 200 DM;15;critical account;radio/television;2728;unknown/no savings account;4 <=  and < 7 years;4;male:single;guarantor;2;real estate;35;bank;own;3;skilled employee/official;1;yes;yes;yes
>= 200 DM;6;existing credits paid back duly till now;car (new);709;>= 1000 DM;< 1 year;2;male:married/widowed;none;2;real estate;27;none;own;1;unemployed/unskilled - non-resident;1;none;no;yes
0 <=  and < 200 DM;36;existing credits paid back duly till now;radio/television;4795;< 100 DM;< 1 year;4;female:divorced/separated/married;none;1;unknown/no property;30;none;own;1;management/self-employed/;1;yes;yes;yes
< 0 DM;27;existing credits paid back duly till now;radio/television;3416;< 100 DM;1 <=  and < 4 years;3;male:single;none;2;car or other;27;none;own;1;management/self-employed/;1;none;yes;yes
< 0 DM;18;existing credits paid back duly till now;furniture/equipment;2462;< 100 DM;1 <=  and < 4 years;2;male:single;none;2;car or other;22;none;own;1;skilled employee/official;1;none;yes;no
no checking account;21;critical account;furniture/equipment;2288;< 100 DM;< 1 year;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;23;none;own;1;skilled employee/official;1;yes;yes;yes
no checking account;12;critical account;car (new);682;100 <=  and < 500 DM;4 <=  and < 7 years;4;female:divorced/separated/married;none;3;car or other;51;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;18;critical account;radio/television;1582;>= 1000 DM;>= 7 years;4;male:single;none;4;car or other;46;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;10;existing credits paid back duly till now;radio/television;1924;< 100 DM;1 <=  and < 4 years;1;male:single;none;4;building society savings agreement/life insurance;38;none;own;1;skilled employee/official;1;yes;no;yes
0 <=  and < 200 DM;24;critical account;car (used);7758;>= 1000 DM;>= 7 years;2;female:divorced/separated/married;none;4;unknown/no property;29;none;rent;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;24;delay in paying off in the past;business;6967;100 <=  and < 500 DM;4 <=  and < 7 years;4;male:single;none;4;car or other;36;none;rent;1;management/self-employed/;1;yes;yes;yes
< 0 DM;9;critical account;repairs;1288;100 <=  and < 500 DM;>= 7 years;3;male:single;guarantor;4;real estate;48;none;own;2;skilled employee/official;2;none;no;yes
< 0 DM;12;all credits at this bank paid back duly;retraining;339;< 100 DM;>= 7 years;4;male:married/widowed;none;1;car or other;45;bank;own;1;unskilled - resident;1;none;yes;yes
no checking account;6;critical account;radio/television;1898;unknown/no savings account;1 <=  and < 4 years;1;male:single;none;2;real estate;34;none;own;2;unskilled - resident;2;none;yes;yes
no checking account;18;critical account;car (new);1055;< 100 DM;< 1 year;4;female:divorced/separated/married;none;1;building society savings agreement/life insurance;30;none;own;2;skilled employee/official;1;none;yes;yes
no checking account;36;existing credits paid back duly till now;car (new);909;500 <=  and < 1000 DM;>= 7 years;4;male:single;none;4;building society savings agreement/life insurance;36;none;own;1;skilled employee/official;1;none;yes;yes
no checking account;6;existing credits paid back duly till now;furniture/equipment;2978;500 <=  and < 1000 DM;1 <=  and < 4 years;1;male:single;none;2;car or other;32;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;11;existing credits paid back duly till now;furniture/equipment;1577;>= 1000 DM;< 1 year;4;female:divorced/separated/married;none;1;real estate;20;none;own;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;24;critical account;business;1935;< 100 DM;>= 7 years;4;male:divorced/separated;none;4;real estate;31;none;own;2;skilled employee/official;1;yes;yes;no
no checking account;12;existing credits paid back duly till now;furniture/equipment;763;< 100 DM;1 <=  and < 4 years;4;female:divorced/separated/married;none;1;real estate;26;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;8;existing credits paid back duly till now;radio/television;1414;< 100 DM;1 <=  and < 4 years;4;male:single;guarantor;2;real estate;33;none;own;1;skilled employee/official;1;none;no;yes
< 0 DM;21;delay in paying off in the past;education;3414;< 100 DM;< 1 year;2;male:single;none;1;building society savings agreement/life insurance;26;none;own;2;skilled employee/official;1;none;yes;no
no checking account;36;delay in paying off in the past;business;9572;< 100 DM;< 1 year;1;male:divorced/separated;none;1;car or other;28;none;own;2;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;36;delay in paying off in the past;business;4455;< 100 DM;1 <=  and < 4 years;2;male:divorced/separated;none;2;real estate;30;stores;own;2;management/self-employed/;1;yes;yes;no
< 0 DM;21;all credits at this bank paid back duly;car (new);1647;unknown/no savings account;1 <=  and < 4 years;4;male:single;none;2;building society savings agreement/life insurance;40;none;own;2;unskilled - resident;2;none;yes;no
no checking account;24;critical account;furniture/equipment;3777;>= 1000 DM;1 <=  and < 4 years;4;male:single;none;4;real estate;50;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;9;all credits at this bank paid back duly;car (used);5129;< 100 DM;>= 7 years;2;female:divorced/separated/married;none;4;unknown/no property;74;bank;for free;1;management/self-employed/;2;yes;yes;no
< 0 DM;12;existing credits paid back duly till now;radio/television;674;100 <=  and < 500 DM;4 <=  and < 7 years;4;male:married/widowed;none;1;building society savings agreement/life insurance;20;none;own;1;skilled employee/official;1;none;yes;no
0 <=  and < 200 DM;18;no credits taken/all credits paid back duly;furniture/equipment;3244;< 100 DM;1 <=  and < 4 years;1;female:divorced/separated/married;none;4;car or other;33;bank;own;2;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;27;existing credits paid back duly till now;business;3915;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;car or other;36;none;own;1;skilled employee/official;2;yes;yes;no
no checking account;6;existing credits paid back duly till now;radio/television;2108;< 100 DM;4 <=  and < 7 years;2;male:married/widowed;none;2;real estate;29;none;rent;1;skilled employee/official;1;none;yes;yes
0 <=  and < 200 DM;9;critical account;education;1501;< 100 DM;>= 7 years;2;female:divorced/separated/married;none;3;car or other;34;none;own;2;management/self-employed/;1;yes;yes;no
no checking account;6;critical account;radio/television;1382;< 100 DM;1 <=  and < 4 years;1;female:divorced/separated/married;none;1;car or other;28;none;own;2;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;24;existing credits paid back duly till now;car (used);2760;unknown/no savings account;>= 7 years;4;male:single;none;4;unknown/no property;36;bank;for free;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;18;delay in paying off in the past;furniture/equipment;4297;< 100 DM;>= 7 years;4;male:divorced/separated;none;3;unknown/no property;40;none;own;1;management/self-employed/;1;yes;yes;no
no checking account;9;critical account;education;936;500 <=  and < 1000 DM;>= 7 years;4;male:single;none;2;car or other;52;none;own;2;skilled employee/official;1;yes;yes;yes
no checking account;27;delay in paying off in the past;business;5117;< 100 DM;4 <=  and < 7 years;3;male:single;none;4;car or other;26;none;own;2;skilled employee/official;1;none;yes;yes
< 0 DM;12;existing credits paid back duly till now;retraining;902;< 100 DM;4 <=  and < 7 years;4;male:married/widowed;none;4;building society savings agreement/life insurance;21;none;rent;1;skilled employee/official;1;none;yes;no
no checking account;12;critical account;car (new);1495;< 100 DM;>= 7 years;4;male:single;none;1;real estate;38;none;own;2;unskilled - resident;2;none;yes;yes
no checking account;12;critical account;furniture/equipment;1935;< 100 DM;>= 7 years;4;male:single;none;4;real estate;43;none;own;3;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;12;critical account;domestic appliances;1424;< 100 DM;4 <=  and < 7 years;4;male:single;none;3;building society savings agreement/life insurance;26;none;own;1;skilled employee/official;1;none;yes;yes
< 0 DM;24;existing credits paid back duly till now;business;6568;< 100 DM;1 <=  and < 4 years;2;male:married/widowed;none;2;car or other;21;stores;own;1;unskilled - resident;1;none;yes;yes
no checking account;12;existing credits paid back duly till now;car (used);1413;>= 1000 DM;4 <=  and < 7 years;3;male:single;none;2;building society savings agreement/life insurance;55;none;own;1;skilled employee/official;1;none;no;yes
no checking account;9;critical account;radio/television;3074;unknown/no savings account;1 <=  and < 4 years;1;male:single;none;2;real estate;33;none;own;2;skilled employee/official;2;none;yes;yes
no checking account;36;existing credits paid back duly till now;radio/television;3835;unknown/no savings account;>= 7 years;2;female:divorced/separated/married;none;4;real estate;45;none;own;1;unskilled - resident;1;yes;yes;yes
< 0 DM;27;no credits taken/all credits paid back duly;business;5293;< 100 DM;unemployed;2;male:single;none;4;building society savings agreement/life insurance;50;stores;own;2;skilled employee/official;1;yes;yes;no
>= 200 DM;30;delay in paying off in the past;business;1908;< 100 DM;>= 7 years;4;male:single;none;4;real estate;66;none;own;1;management/self-employed/;1;yes;yes;no
0 <=  and < 200 DM;6;critical account;retraining;932;unknown/no savings account;4 <=  and < 7 years;1;female:divorced/separated/married;none;3;building society savings agreement/life insurance;39;none;own;2;unskilled - resident;1;none;yes;yes
< 0 DM;18;no credits taken/all credits paid back duly;business;3104;< 100 DM;4 <=  and < 7 years;3;male:single;none;1;building society savings agreement/life insurance;31;bank;own;1;skilled employee/official;1;yes;yes;yes
>= 200 DM;36;existing credits paid back duly till now;radio/television;3913;< 100 DM;1 <=  and < 4 years;2;male:single;none;2;real estate;23;none;own;1;skilled employee/official;1;yes;yes;yes
< 0 DM;24;existing credits paid back duly till now;furniture/equipment;3021;< 100 DM;1 <=  and < 4 years;2;male:divorced/separated;none;2;real estate;24;none;rent;1;unskilled - resident;1;none;yes;yes
no checking account;10;existing credits paid back duly till now;car (new);1364;< 100 DM;1 <=  and < 4 years;2;female:divorced/separated/married;none;4;car or other;64;none;own;1;skilled employee/official;1;yes;yes;yes
0 <=  and < 200 DM;12;existing credits paid back duly till now;radio/television;625;< 100 DM;< 1 year;4;male:married/widowed;guarantor;1;real estate;26;bank;own;1;unskilled - resident;1;none;yes;yes
< 0 DM;12;existing credits paid back duly till now;education;1200;unknown/no savings account;1 <=  and < 4 years;4;female:divorced/separated/married;none;4;building society savings agreement/life insurance;23;bank;rent;1;skilled employee/official;1;yes;yes;yes
no checking account;12;existing credits paid back duly till now;radio/television;707;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;real estate;30;bank;own;2;skilled employee/official;1;none;yes;yes
no checking account;24;delay in paying off in the past;business;2978;unknown/no savings account;1 <=  and < 4 years;4;male:single;none;4;real estate;32;none;own;2;skilled employee/official;2;yes;yes;yes
< 0 DM;12;existing credits paid back duly till now;furniture/equipment;7865;< 100 DM;>= 7 years;4;male:single;none;4;unknown/no property;53;none;for free;1;management/self-employed/;1;yes;yes;no
no checking account;9;existing credits paid back duly till now;radio/television;1478;< 100 DM;4 <=  and < 7 years;4;male:single;none;2;car or other;22;none;own;1;skilled employee/official;1;none;yes;no
< 0 DM;24;existing credits paid back duly till now;furniture/equipment;3149;< 100 DM;< 1 year;4;male:single;none;1;unknown/no property;22;bank;for free;1;skilled employee/official;1;none;yes;yes
>= 200 DM;36;existing credits paid back duly till now;radio/television;4210;< 100 DM;1 <=  and < 4 years;4;male:single;none;2;car or other;26;none;own;1;skilled employee/official;1;none;yes;no
no checking account;9;existing credits paid back duly till now;car (new);2507;500 <=  and < 1000 DM;>= 7 years;2;male:single;none;4;unknown/no property;51;none;for free;1;unskilled - resident;1;none;yes;yes
no checking account;12;existing credits paid back duly till now;radio/television;2141;100 <=  and < 500 DM;4 <=  and < 7 years;3;male:single;none;1;unknown/no property;35;none;own;1;skilled employee/official;1;none;yes;yes
